block-pct-last-1,defensive-efficiency-last-1,offensive-efficiency-last-1,steal-pct-last-1,total-rebounds-per-game-last-1,true-shooting-percentage-last-1,turnover-pct-last-1,year,month,day,changes_of_win_rating
7.1,0.945,0.841,12.0,59.0,79.0,9.9,2013,1,1,0
7.1,0.945,0.841,12.0,59.0,79.0,9.9,2013,1,2,0
6.4,1.071,1.094,7.3,44.0,108.0,7.2,2013,1,3,1
6.4,1.071,1.094,7.3,44.0,108.0,7.2,2013,1,4,1
3.1,1.016,1.096,7.6,54.0,105.0,14.1,2013,1,5,1
3.1,1.016,1.096,7.6,54.0,105.0,14.1,2013,1,6,1
3.1,1.016,1.096,7.6,54.0,105.0,14.1,2013,1,7,1
11.5,0.962,1.234,9.4,55.0,126.3,17.9,2013,1,8,1
11.5,0.962,1.234,9.4,55.0,126.3,17.9,2013,1,9,1
2.4,1.027,0.948,8.0,57.0,91.9,12.8,2013,1,10,-1
2.4,1.027,0.948,8.0,57.0,91.9,12.8,2013,1,11,-1
6.7,1.057,1.13,7.0,49.0,128.3,17.7,2013,1,12,1
8.2,1.05,0.876,5.9,48.0,82.7,10.0,2013,1,13,-1
8.2,1.05,0.876,5.9,48.0,82.7,10.0,2013,1,14,-1
15.9,0.629,1.052,5.8,67.0,102.5,13.1,2013,1,15,1
15.9,0.629,1.052,5.8,67.0,102.5,13.1,2013,1,16,1
2.4,1.033,1.053,6.1,60.0,103.8,12.1,2013,1,17,1
2.4,1.033,1.053,6.1,60.0,103.8,12.1,2013,1,18,1
1.1,0.95,0.959,3.5,54.0,110.9,18.7,2013,1,19,1
7.1,0.893,0.862,5.4,58.0,86.3,13.6,2013,1,20,-1
7.1,0.893,0.862,5.4,58.0,86.3,13.6,2013,1,21,-1
13.6,0.894,1.024,8.3,52.0,96.3,7.5,2013,1,22,1
13.6,0.894,1.024,8.3,52.0,96.3,7.5,2013,1,23,1
6.1,0.953,0.988,5.1,55.0,102.0,15.0,2013,1,24,1
6.1,0.953,0.988,5.1,55.0,102.0,15.0,2013,1,25,1
10.3,0.915,1.083,3.8,64.0,106.7,13.5,2013,1,26,1
7.6,0.984,0.836,5.2,44.0,95.2,18.0,2013,1,27,-1
7.6,0.984,0.836,5.2,44.0,95.2,18.0,2013,1,28,-1
17.3,0.956,1.046,5.0,56.0,103.5,10.6,2013,1,29,1
17.3,0.956,1.046,5.0,56.0,103.5,10.6,2013,1,30,1
6.1,0.93,1.099,9.1,51.0,107.0,10.9,2013,1,31,1
6.1,0.93,1.099,9.1,51.0,107.0,10.9,2013,2,1,1
4.0,1.017,0.973,8.8,41.0,100.6,13.7,2013,2,2,-1
6.3,0.852,1.043,11.9,62.0,93.8,8.4,2013,2,3,1
6.3,0.852,1.043,11.9,62.0,93.8,8.4,2013,2,4,1
8.1,1.171,1.065,6.5,41.0,102.6,9.4,2013,2,5,-1
8.1,1.171,1.065,6.5,41.0,102.6,9.4,2013,2,6,-1
8.1,1.171,1.065,6.5,41.0,102.6,9.4,2013,2,7,-1
4.7,1.365,1.024,4.6,44.0,98.3,13.7,2013,2,8,-1
2.6,1.049,1.097,6.1,48.0,106.2,12.0,2013,2,9,1
2.6,1.049,1.097,6.1,48.0,106.2,12.0,2013,2,10,1
2.6,1.049,1.097,6.1,48.0,106.2,12.0,2013,2,11,1
6.7,1.144,0.989,7.6,56.0,101.7,17.8,2013,2,12,-1
6.7,1.144,0.989,7.6,56.0,101.7,17.8,2013,2,13,-1
5.3,0.803,0.781,5.2,59.0,84.1,21.7,2013,2,14,-1
5.3,0.803,0.781,5.2,59.0,84.1,21.7,2013,2,15,-1
5.3,0.803,0.781,5.2,59.0,84.1,21.7,2013,2,16,-1
5.3,0.803,0.781,5.2,59.0,84.1,21.7,2013,2,17,-1
5.3,0.803,0.781,5.2,59.0,84.1,21.7,2013,2,18,-1
5.3,0.803,0.781,5.2,59.0,84.1,21.7,2013,2,19,-1
7.1,0.908,1.002,9.4,58.0,104.3,14.6,2013,2,20,1
7.1,0.908,1.002,9.4,58.0,104.3,14.6,2013,2,21,1
5.5,0.935,0.729,10.0,47.0,83.5,25.7,2013,2,22,-1
9.3,0.842,1.179,5.8,54.0,113.5,6.1,2013,2,23,1
9.3,0.842,1.179,5.8,54.0,113.5,6.1,2013,2,24,1
6.3,1.04,0.734,8.9,53.0,73.9,15.8,2013,2,25,-1
6.3,1.04,0.734,8.9,53.0,73.9,15.8,2013,2,26,-1
9.9,1.134,1.1,4.9,42.0,115.1,15.0,2013,2,27,-1
9.9,1.134,1.1,4.9,42.0,115.1,15.0,2013,2,28,-1
17.6,0.865,0.981,5.6,61.0,94.2,10.0,2013,3,1,1
17.6,0.865,0.981,5.6,61.0,94.2,10.0,2013,3,2,1
9.7,0.901,1.018,10.8,38.0,120.5,18.9,2013,3,3,1
7.0,1.042,0.988,8.7,44.0,102.7,12.9,2013,3,4,-1
7.0,1.042,0.988,8.7,44.0,102.7,12.9,2013,3,5,-1
7.0,1.042,0.988,8.7,44.0,102.7,12.9,2013,3,6,-1
6.8,1.133,0.931,9.6,43.0,88.5,7.8,2013,3,7,-1
6.8,1.133,0.931,9.6,43.0,88.5,7.8,2013,3,8,-1
1.2,1.013,1.024,7.7,55.0,93.4,12.0,2013,3,9,1
1.2,1.013,1.024,7.7,55.0,93.4,12.0,2013,3,10,1
4.7,1.021,0.919,7.5,53.0,85.5,12.2,2013,3,11,-1
4.7,1.021,0.919,7.5,53.0,85.5,12.2,2013,3,12,-1
4.7,1.021,0.919,7.5,53.0,85.5,12.2,2013,3,13,-1
3.6,1.284,0.838,2.0,48.0,87.7,16.0,2013,3,14,-1
3.6,1.284,0.838,2.0,48.0,87.7,16.0,2013,3,15,-1
0.0,0.981,1.167,7.7,53.0,120.9,14.8,2013,3,16,1
0.0,0.981,1.167,7.7,53.0,120.9,14.8,2013,3,17,1
0.0,0.981,1.167,7.7,53.0,120.9,14.8,2013,3,18,1
11.0,1.103,1.093,5.5,47.0,112.4,11.7,2013,3,19,-1
11.0,1.103,1.093,5.5,47.0,112.4,11.7,2013,3,20,-1
11.0,1.103,1.093,5.5,47.0,112.4,11.7,2013,3,21,-1
4.8,1.053,0.947,7.8,46.0,94.5,7.8,2013,3,22,-1
4.8,1.053,0.947,7.8,46.0,94.5,7.8,2013,3,23,-1
6.4,0.939,0.973,4.1,56.0,95.1,9.9,2013,3,24,1
3.8,1.042,1.118,7.1,60.0,107.1,13.3,2013,3,25,1
3.8,1.042,1.118,7.1,60.0,107.1,13.3,2013,3,26,1
3.8,1.042,1.118,7.1,60.0,107.1,13.3,2013,3,27,1
3.9,0.987,1.028,8.6,59.0,108.0,18.1,2013,3,28,1
3.9,0.987,1.028,8.6,59.0,108.0,18.1,2013,3,29,1
3.9,0.987,1.028,8.6,59.0,108.0,18.1,2013,3,30,1
5.1,1.11,1.088,6.1,45.0,110.7,12.9,2013,3,31,-1
5.6,1.014,1.025,9.9,48.0,100.0,8.8,2013,4,1,1
5.6,1.014,1.025,9.9,48.0,100.0,8.8,2013,4,2,1
2.6,0.989,0.945,5.9,55.0,89.0,6.8,2013,4,3,-1
2.6,0.989,0.945,5.9,55.0,89.0,6.8,2013,4,4,-1
5.7,0.977,0.999,5.0,56.0,101.1,12.4,2013,4,5,1
7.5,0.941,0.952,9.9,46.0,98.1,12.0,2013,4,6,1
7.5,0.941,0.952,9.9,46.0,98.1,12.0,2013,4,7,1
6.8,1.132,0.972,7.3,41.0,100.1,11.5,2013,4,8,-1
6.8,1.132,0.972,7.3,41.0,100.1,11.5,2013,4,9,-1
2.8,1.117,1.083,3.2,52.0,102.6,9.7,2013,4,10,-1
2.8,1.117,1.083,3.2,52.0,102.6,9.7,2013,4,11,-1
8.7,1.042,1.108,5.9,61.0,112.8,7.7,2013,4,12,1
1.4,1.058,0.96,5.8,45.0,105.2,17.7,2013,4,13,-1
1.4,1.058,0.96,5.8,45.0,105.2,17.7,2013,4,14,-1
1.4,1.049,0.929,6.7,54.0,96.1,12.6,2013,4,15,-1
5.4,0.929,1.128,5.7,42.0,125.7,16.3,2013,4,16,1
5.4,0.929,1.128,5.7,42.0,125.7,16.3,2013,4,17,1
2.4,0.994,1.026,5.0,52.0,109.2,14.3,2013,4,18,1
2.4,0.994,1.026,5.0,52.0,109.2,14.3,2013,4,19,1
2.4,0.994,1.026,5.0,52.0,109.2,14.3,2013,4,20,1
6.5,1.215,1.02,4.3,42.0,103.0,10.4,2013,4,21,-1
6.5,1.215,1.02,4.3,42.0,103.0,10.4,2013,4,22,-1
8.5,0.878,0.963,5.7,56.0,102.4,13.7,2013,4,23,1
8.5,0.878,0.963,5.7,56.0,102.4,13.7,2013,4,24,1
8.5,0.878,0.963,5.7,56.0,102.4,13.7,2013,4,25,1
3.7,0.813,0.845,6.0,60.0,89.8,14.6,2013,4,26,1
3.7,0.813,0.845,6.0,60.0,89.8,14.6,2013,4,27,1
7.2,1.05,1.113,5.7,65.0,115.7,11.0,2013,4,28,1
7.2,1.05,1.113,5.7,65.0,115.7,11.0,2013,4,29,1
4.8,1.261,1.043,7.7,39.0,108.9,13.2,2013,4,30,-1
4.8,1.261,1.043,7.7,39.0,108.9,13.2,2013,5,1,-1
4.8,1.261,1.043,7.7,39.0,108.9,13.2,2013,5,2,-1
8.9,0.983,0.952,3.8,59.0,94.3,14.3,2013,5,3,-1
8.9,0.983,0.952,3.8,59.0,94.3,14.3,2013,5,4,-1
8.1,1.096,1.167,5.8,48.0,112.3,9.2,2013,5,5,1
8.1,1.096,1.167,5.8,48.0,112.3,9.2,2013,5,6,1
3.8,0.937,1.013,5.1,57.0,109.7,15.9,2013,5,7,1
3.8,0.937,1.013,5.1,57.0,109.7,15.9,2013,5,8,1
0.0,1.238,0.84,7.9,37.0,90.7,18.1,2013,5,9,-1
0.0,1.238,0.84,7.9,37.0,90.7,18.1,2013,5,10,-1
5.7,1.181,1.067,7.2,45.0,105.8,11.1,2013,5,11,-1
5.7,1.181,1.067,7.2,45.0,105.8,11.1,2013,5,12,-1
5.7,1.181,1.067,7.2,45.0,105.8,11.1,2013,5,13,-1
4.4,1.005,0.742,10.6,54.0,72.9,15.9,2013,5,14,-1
4.4,1.005,0.742,10.6,54.0,72.9,15.9,2013,5,15,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,16,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,17,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,18,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,19,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,20,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,21,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,22,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,23,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,24,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,25,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,26,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,27,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,28,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,29,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,30,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,5,31,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,1,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,2,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,3,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,4,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,5,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,6,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,7,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,8,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,9,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,10,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,11,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,12,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,13,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,14,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,15,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,16,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,17,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,18,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,19,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,20,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,21,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,22,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,23,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,24,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,25,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,26,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,27,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,28,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,29,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,6,30,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,1,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,2,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,3,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,4,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,5,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,6,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,7,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,8,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,9,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,10,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,11,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,12,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,13,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,14,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,15,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,16,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,17,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,18,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,19,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,20,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,21,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,22,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,23,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,24,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,25,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,26,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,27,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,28,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,29,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,30,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,7,31,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,1,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,2,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,3,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,4,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,5,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,6,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,7,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,8,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,9,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,10,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,11,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,12,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,13,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,14,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,15,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,16,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,17,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,18,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,19,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,20,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,21,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,22,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,23,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,24,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,25,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,26,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,27,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,28,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,29,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,30,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,8,31,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,1,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,2,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,3,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,4,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,5,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,6,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,7,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,8,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,9,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,10,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,11,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,12,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,13,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,14,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,15,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,16,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,17,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,18,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,19,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,20,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,21,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,22,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,23,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,24,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,25,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,26,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,27,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,28,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,29,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,9,30,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,1,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,2,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,3,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,4,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,5,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,6,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,7,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,8,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,9,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,10,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,11,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,12,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,13,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,14,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,15,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,16,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,17,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,18,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,19,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,20,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,21,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,22,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,23,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,24,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,25,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,26,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,27,-1
7.1,1.062,1.028,5.3,49.0,105.3,15.5,2013,10,28,-1
3.5,0.872,0.883,4.7,53.0,96.4,18.0,2013,11,1,1
3.5,0.872,0.883,4.7,53.0,96.4,18.0,2013,11,2,1
5.8,1.056,1.027,7.2,58.0,101.9,15.2,2013,11,3,-1
5.8,1.056,1.027,7.2,58.0,101.9,15.2,2013,11,4,-1
5.8,1.056,1.027,7.2,58.0,101.9,15.2,2013,11,5,-1
5.8,1.056,1.027,7.2,58.0,101.9,15.2,2013,11,6,-1
5.8,1.039,0.857,3.6,47.0,93.2,17.2,2013,11,7,-1
5.8,1.039,0.857,3.6,47.0,93.2,17.2,2013,11,8,-1
7.1,0.765,1.017,10.7,56.0,115.6,19.7,2013,11,9,1
7.1,0.765,1.017,10.7,56.0,115.6,19.7,2013,11,10,1
7.1,0.765,1.017,10.7,56.0,115.6,19.7,2013,11,11,1
9.3,0.872,1.033,8.7,50.0,100.7,10.3,2013,11,12,1
9.3,0.872,1.033,8.7,50.0,100.7,10.3,2013,11,13,1
9.3,0.872,1.033,8.7,50.0,100.7,10.3,2013,11,14,1
9.3,0.872,1.033,8.7,50.0,100.7,10.3,2013,11,15,1
6.1,0.831,0.998,5.6,53.0,107.8,15.9,2013,11,16,1
7.1,0.971,1.136,5.5,51.0,121.7,14.2,2013,11,17,1
7.1,0.971,1.136,5.5,51.0,121.7,14.2,2013,11,18,1
8.8,0.842,0.894,2.8,63.0,95.8,15.2,2013,11,19,1
8.8,0.842,0.894,2.8,63.0,95.8,15.2,2013,11,20,1
8.8,0.842,0.894,2.8,63.0,95.8,15.2,2013,11,21,1
3.6,0.979,0.878,3.6,64.0,83.1,14.9,2013,11,22,-1
1.1,1.016,0.985,7.5,61.0,98.2,14.1,2013,11,23,-1
1.1,1.016,0.985,7.5,61.0,98.2,14.1,2013,11,24,-1
1.2,1.274,0.863,2.0,46.0,89.2,14.2,2013,11,25,-1
2.4,0.911,0.85,3.6,61.0,89.9,16.1,2013,11,26,-1
2.4,0.911,0.85,3.6,61.0,89.9,16.1,2013,11,27,-1
1.3,0.855,1.072,8.6,46.0,116.9,15.9,2013,11,28,1
1.3,0.855,1.072,8.6,46.0,116.9,15.9,2013,11,29,1
1.3,0.855,1.072,8.6,46.0,116.9,15.9,2013,11,30,1
5.1,1.089,1.044,5.0,45.0,104.3,10.2,2013,12,1,-1
5.1,1.089,1.044,5.0,45.0,104.3,10.2,2013,12,2,-1
6.2,1.125,1.099,2.9,68.0,109.3,12.8,2013,12,3,-1
6.2,1.125,1.099,2.9,68.0,109.3,12.8,2013,12,4,-1
6.2,1.125,1.099,2.9,68.0,109.3,12.8,2013,12,5,-1
2.6,0.943,1.159,3.1,64.0,120.0,16.1,2013,12,6,1
2.6,0.943,1.159,3.1,64.0,120.0,16.1,2013,12,7,1
8.8,0.962,0.784,7.4,55.0,77.2,12.2,2013,12,8,-1
8.8,0.962,0.784,7.4,55.0,77.2,12.2,2013,12,9,-1
8.8,0.962,0.784,7.4,55.0,77.2,12.2,2013,12,10,-1
10.7,0.852,0.808,6.8,57.0,82.5,17.2,2013,12,11,-1
9.2,0.903,0.849,8.8,55.0,90.9,21.3,2013,12,12,-1
9.2,0.903,0.849,8.8,55.0,90.9,21.3,2013,12,13,-1
8.1,1.023,1.035,7.9,51.0,101.1,14.3,2013,12,14,1
10.8,1.03,0.801,4.8,53.0,84.0,14.1,2013,12,15,-1
10.8,1.03,0.801,4.8,53.0,84.0,14.1,2013,12,16,-1
6.0,0.902,0.892,4.0,53.0,87.8,5.1,2013,12,17,-1
6.0,0.902,0.892,4.0,53.0,87.8,5.1,2013,12,18,-1
2.4,1.138,0.982,7.6,49.0,104.5,16.2,2013,12,19,-1
7.1,1.069,0.949,7.4,52.0,99.5,15.3,2013,12,20,-1
7.1,1.069,0.949,7.4,52.0,99.5,15.3,2013,12,21,-1
5.6,0.895,1.066,3.8,55.0,124.4,23.3,2013,12,22,1
5.6,0.895,1.066,3.8,55.0,124.4,23.3,2013,12,23,1
5.6,0.895,1.066,3.8,55.0,124.4,23.3,2013,12,24,1
5.6,0.895,1.066,3.8,55.0,124.4,23.3,2013,12,25,1
4.2,0.88,1.072,9.8,47.0,113.8,15.1,2013,12,26,1
4.2,0.88,1.072,9.8,47.0,113.8,15.1,2013,12,27,1
4.2,0.88,1.072,9.8,47.0,113.8,15.1,2013,12,28,1
3.8,1.128,0.891,9.0,41.0,100.0,18.0,2013,12,29,-1
3.8,1.128,0.891,9.0,41.0,100.0,18.0,2013,12,30,-1
5.8,0.896,0.833,4.9,54.0,85.9,14.4,2014,1,1,-1
5.8,0.896,0.833,4.9,54.0,85.9,14.4,2014,1,2,-1
7.4,0.832,0.953,6.3,53.0,96.6,11.8,2014,1,3,1
7.4,0.832,0.953,6.3,53.0,96.6,11.8,2014,1,4,1
14.0,0.938,1.016,11.3,59.0,98.5,13.7,2014,1,5,1
14.0,0.938,1.016,11.3,59.0,98.5,13.7,2014,1,6,1
14.0,0.938,1.016,11.3,59.0,98.5,13.7,2014,1,7,1
